行 ID,オーダー ID,オーダー日,出荷日,出荷モード,顧客 ID,顧客名,顧客区分,市区町村,都道府県,国/地域,地域,製品 ID,カテゴリ,サブカテゴリ,製品名,売上,数量,割引率,利益
3041,JP-2021-1635831,2021/5/31,2021/6/1,ファースト クラス,東学-17125,東郷 学,消費者,枚方市,大阪府,日本,関西地方,家具-テー-10004403,家具,テーブル,"Chromcraft 丸型テーブル, 長方形",74347.2,3,0.2,13939.2
3042,JP-2021-1635831,2021/5/31,2021/6/1,ファースト クラス,東学-17125,東郷 学,消費者,枚方市,大阪府,日本,関西地方,事務用-クリ-10001477,事務用品,クリップ,"Stockwell 画鋲, 大容量パック",3504,4,0,1608
3043,JP-2022-1574447,2022/11/30,2022/12/4,通常配送,桃恵-16375,桃木 恵,小規模事業所,福井市,福井県,日本,中部地方,家電-事務-10001326,家電,事務機器,"パナソニック 計算機, 赤",6640.2,3,0.3,-853.8
3044,JP-2021-1104587,2021/8/4,2021/8/8,通常配送,江美-10405,江野 美羽,大企業,かほく市,石川県,日本,中部地方,家電-付属-10000512,家電,付属品,"メモレックス キーボード, プログラミング可能",9712,2,0,1552
3045,JP-2021-1104587,2021/8/4,2021/8/8,通常配送,江美-10405,江野 美羽,大企業,かほく市,石川県,日本,中部地方,事務用-封筒-10002369,事務用品,封筒,"GlobeWeis テープ付き, 50 枚セット",4278,3,0,2010
3046,JP-2021-1104587,2021/8/4,2021/8/8,通常配送,江美-10405,江野 美羽,大企業,かほく市,石川県,日本,中部地方,事務用-保管-10003666,事務用品,保管箱,"Eldon フォルダ, メタル",6420,6,0,1284
3047,JP-2021-1799264,2021/9/6,2021/9/12,通常配送,溝真-21325,溝下 真,消費者,西尾市,愛知県,日本,中部地方,家具-椅子-10000395,家具,椅子,"Hon 肘掛け椅子, 赤",91428,3,0,26514
3048,JP-2021-2522912,2021/3/21,2021/3/24,ファースト クラス,桐翔-11395,桐本 翔,大企業,福井市,福井県,日本,中部地方,家具-本棚-10003942,家具,本棚,"イケア コーナー シェルフ, 白",8372,1,0,1422
3049,JP-2021-2522912,2021/3/21,2021/3/24,ファースト クラス,桐翔-11395,桐本 翔,大企業,福井市,福井県,日本,中部地方,事務用-封筒-10002574,事務用品,封筒,"Cameo クラフト封筒, 50 枚セット",4438,7,0,1946
3050,JP-2021-2522912,2021/3/21,2021/3/24,ファースト クラス,桐翔-11395,桐本 翔,大企業,福井市,福井県,日本,中部地方,事務用-保管-10003181,事務用品,保管箱,"Eldon ロッカー, 青",65970,5,0,425
3051,JP-2021-2523727,2021/8/21,2021/8/23,ファースト クラス,三剛-12715,三苫 剛,大企業,船橋市,千葉県,日本,関東地方,家電-コピ-10003676,家電,コピー機,"キヤノン 無線ファックス, カラー",76020,5,0.4,-3810
3052,JP-2021-2524694,2021/5/12,2021/5/18,通常配送,永陽-12865,永嶋 陽子,消費者,高槻市,大阪府,日本,関西地方,事務用-封筒-10003868,事務用品,封筒,"Ames 社内用封筒, 50 枚セット",6016,2,0,240
3053,JP-2019-1535559,2019/7/27,2019/7/29,ファースト クラス,辺翔-11950,辺見 翔太,消費者,鹿沼市,栃木県,日本,関東地方,家電-電話-10004072,家電,電話機,"ノキア 充電器, フル サイズ",42490,1,0,85
3054,JP-2019-1535559,2019/7/27,2019/7/29,ファースト クラス,辺翔-11950,辺見 翔太,消費者,鹿沼市,栃木県,日本,関東地方,家具-本棚-10002507,家具,本棚,"Bush 書庫, 従来型",72864,3,0,12384
3055,JP-2022-1466778,2022/6/2,2022/6/5,ファースト クラス,秋涼-15070,秋庭 涼,消費者,新宿区,東京都,日本,関東地方,家電-コピ-10001014,家電,コピー機,"シャープ 無線ファックス, カラー",40500.8,2,0.15,4284.8
3056,JP-2020-2526731,2020/5/5,2020/5/9,通常配送,吉一-18250,吉積 一樹,大企業,横手市,秋田県,日本,東北地方,家電-電話-10000837,家電,電話機,"シスコ スマートフォン, フル サイズ",55908,6,0,510
3057,JP-2020-2526731,2020/5/5,2020/5/9,通常配送,吉一-18250,吉積 一樹,大企業,横手市,秋田県,日本,東北地方,事務用-アプ-10001257,事務用品,アプライアンス,"クイジナート コーヒーミル, 黒",7608,3,0,606
3058,JP-2020-2526731,2020/5/5,2020/5/9,通常配送,吉一-18250,吉積 一樹,大企業,横手市,秋田県,日本,東北地方,家電-コピ-10003631,家電,コピー機,"HP 無線ファックス, 2 つセット",72042,3,0,26652
3059,JP-2022-1044305,2022/7/31,2022/8/4,通常配送,縄優-19915,縄田 優月,消費者,東大阪市,大阪府,日本,関西地方,家具-椅子-10000264,家具,椅子,"Office Star ビーチ チェア, 黒",10602,3,0,1374
3060,JP-2019-1819336,2019/8/4,2019/8/7,セカンド クラス,花大-11545,花野 大輔,大企業,新宿区,東京都,日本,関東地方,事務用-封筒-10000878,事務用品,封筒,"Kraft 各種封筒, 赤",7002.3,3,0.15,492.3
3061,JP-2019-1819336,2019/8/4,2019/8/7,セカンド クラス,花大-11545,花野 大輔,大企業,新宿区,東京都,日本,関東地方,家具-椅子-10000839,家具,椅子,"Harbour Creations ロッキング チェア, 黒",16394.8,2,0.15,-2125.2
3062,JP-2019-1983996,2019/7/19,2019/7/24,通常配送,蒲修-12025,蒲沢 修,消費者,新宿区,東京都,日本,関東地方,家具-家具-10001117,家具,家具,"Tenex ドア ストッパー, 高耐久性",4637.6,2,0.15,1797.6
3063,JP-2022-2531509,2022/9/15,2022/9/20,通常配送,福法-19975,福森 法子,大企業,出雲市,島根県,日本,中国地方,家具-家具-10003687,家具,家具,"Deflect-O フレーム, マルチパック",22020,3,0,3522
3064,JP-2019-2532003,2019/1/12,2019/1/16,通常配送,竹幸-18280,竹内 幸子,大企業,唐津市,佐賀県,日本,九州,家電-電話-10004865,家電,電話機,"アップル ヘッドセット, フル サイズ",4970,1,0,85
3065,JP-2020-1090786,2020/6/26,2020/6/28,セカンド クラス,福彩-16990,福西 彩花,大企業,新宿区,東京都,日本,関東地方,家具-椅子-10001933,家具,椅子,"Harbour Creations 椅子用マット, 黒",15769.2,4,0.15,4081.2
3066,JP-2020-1090786,2020/6/26,2020/6/28,セカンド クラス,福彩-16990,福西 彩花,大企業,新宿区,東京都,日本,関東地方,事務用-文房-10001089,事務用品,文房具,"Fiskars カッター ナイフ, 青",2012.8,1,0.15,-191.2
3067,JP-2020-1090786,2020/6/26,2020/6/28,セカンド クラス,福彩-16990,福西 彩花,大企業,新宿区,東京都,日本,関東地方,事務用-アプ-10004123,事務用品,アプライアンス,"ブレビル 冷蔵庫, 黒",58792.8,2,0.15,4148.8
3068,JP-2022-1170333,2022/10/21,2022/10/21,即日配送,黒陽-13165,黒江 陽子,消費者,美馬郡つるぎ町,徳島県,日本,四国,家電-コピ-10002563,家電,コピー機,"ブラザー ファックス, 2 つセット",127416,6,0,16560
3069,JP-2020-2533281,2020/11/9,2020/11/14,通常配送,倉陸-13705,倉岡 陸,大企業,京田辺市,京都府,日本,関西地方,家具-家具-10001369,家具,家具,"Tenex フレーム, 高耐久性",35670,5,0,12840
3070,JP-2020-2533281,2020/11/9,2020/11/14,通常配送,倉陸-13705,倉岡 陸,大企業,京田辺市,京都府,日本,関西地方,事務用-画材-10002727,事務用品,画材,"BIC 鉛筆削り, メタル",6054,3,0,540
3071,JP-2019-2534293,2019/9/3,2019/9/5,セカンド クラス,肥彩-18475,肥後 彩乃,小規模事業所,小樽市,北海道,日本,北海道,事務用-クリ-10000867,事務用品,クリップ,"Advantus 押しピン, 各種サイズ",3326.4,7,0.4,218.4
3072,JP-2019-2534293,2019/9/3,2019/9/5,セカンド クラス,肥彩-18475,肥後 彩乃,小規模事業所,小樽市,北海道,日本,北海道,家具-椅子-10000212,家具,椅子,"Hon 折り畳み式の椅子, 調整可能",13425.6,4,0.4,-8286.4
3073,JP-2019-2534293,2019/9/3,2019/9/5,セカンド クラス,肥彩-18475,肥後 彩乃,小規模事業所,小樽市,北海道,日本,北海道,事務用-保管-10002776,事務用品,保管箱,"Rogers フォルダ, 業務用",4987.2,4,0.4,-1420.8
3074,JP-2019-2534293,2019/9/3,2019/9/5,セカンド クラス,肥彩-18475,肥後 彩乃,小規模事業所,小樽市,北海道,日本,北海道,事務用-封筒-10001371,事務用品,封筒,"Jiffy テープ付き, 赤",5652,6,0.4,-480
3075,JP-2020-1273974,2020/2/19,2020/2/24,通常配送,猪大-18880,猪原 大輝,消費者,東村山郡中山町,山形県,日本,東北地方,家具-家具-10001144,家具,家具,"Deflect-O 時計, 高耐久性",9468,3,0,942
3076,JP-2019-2537844,2019/12/8,2019/12/12,通常配送,蔵学-19150,蔵本 学,消費者,川越市,埼玉県,日本,関東地方,事務用-クリ-10000555,事務用品,クリップ,"Accos 画鋲, 各種サイズ",1484,2,0,296
3077,JP-2022-2538830,2022/4/4,2022/4/9,通常配送,芝誠-10810,芝池 誠,大企業,伊豆の国市,静岡県,日本,中部地方,事務用-クリ-10000609,事務用品,クリップ,"Accos 押しピン, メタル",1756.8,3,0.4,-1027.2
3078,JP-2022-1673403,2022/3/5,2022/3/10,セカンド クラス,森香-14590,森友 香,大企業,高槻市,大阪府,日本,関西地方,事務用-バイ-10004226,事務用品,バインダー,"カーディナル 穴あけパンチ, リサイクル",3888,2,0,544
3079,JP-2022-2087236,2022/1/28,2022/2/1,セカンド クラス,溝真-21325,溝下 真,消費者,周南市,山口県,日本,中国地方,事務用-封筒-10004705,事務用品,封筒,"Kraft クラフト封筒, 50 枚セット",360,1,0.4,-36
3080,JP-2022-2087236,2022/1/28,2022/2/1,セカンド クラス,溝真-21325,溝下 真,消費者,周南市,山口県,日本,中国地方,事務用-画材-10001678,事務用品,画材,"Stanley 鉛筆削り, 青",5947.2,6,0.4,-3868.8
3081,JP-2022-2087236,2022/1/28,2022/2/1,セカンド クラス,溝真-21325,溝下 真,消費者,周南市,山口県,日本,中国地方,家具-本棚-10002249,家具,本棚,"Safco キャビネット, 白",20563.2,3,0.4,-4456.8
3082,JP-2022-2087236,2022/1/28,2022/2/1,セカンド クラス,溝真-21325,溝下 真,消費者,周南市,山口県,日本,中国地方,家電-付属-10002968,家電,付属品,"ベルキン マウス, 高耐久性",6547.2,4,0.4,-1092.8
3083,JP-2022-2087236,2022/1/28,2022/2/1,セカンド クラス,溝真-21325,溝下 真,消費者,周南市,山口県,日本,中国地方,事務用-アプ-10000142,事務用品,アプライアンス,"キッチンエイド トースター, 白",6676.8,2,0.4,-2115.2
3084,JP-2022-1285156,2022/5/1,2022/5/6,通常配送,吉美-17560,吉村 美咲,小規模事業所,半田市,愛知県,日本,中部地方,家電-コピ-10004403,家電,コピー機,"HP 無線ファックス, 赤",71682,3,0,33690
3085,JP-2022-1285156,2022/5/1,2022/5/6,通常配送,吉美-17560,吉村 美咲,小規模事業所,半田市,愛知県,日本,中部地方,事務用-クリ-10001349,事務用品,クリップ,"OIC 押しピン, 各種サイズ",4120,5,0,200
3086,JP-2022-1727431,2022/11/17,2022/11/21,通常配送,要美-16540,要 美咲,消費者,大分市,大分県,日本,九州,家具-椅子-10001147,家具,椅子,"Harbour Creations 折り畳み式の椅子, 調整可能",46844,7,0,20132
3087,JP-2022-1221559,2022/10/13,2022/10/15,セカンド クラス,下智-11140,下方 智子,消費者,倉敷市,岡山県,日本,中国地方,事務用-画材-10004076,事務用品,画材,"Stanley ペン, 各種サイズ",2469.6,4,0.3,-250.4
3088,JP-2022-1221559,2022/10/13,2022/10/15,セカンド クラス,下智-11140,下方 智子,消費者,倉敷市,岡山県,日本,中国地方,事務用-アプ-10001625,事務用品,アプライアンス,"フーバー コンロ, 白",302192,8,0,57408
3089,JP-2022-1221559,2022/10/13,2022/10/15,セカンド クラス,下智-11140,下方 智子,消費者,倉敷市,岡山県,日本,中国地方,家具-椅子-10001297,家具,椅子,"Novimex 椅子用マット, 赤",11268,3,0,1686
3090,JP-2022-1188151,2022/12/9,2022/12/13,セカンド クラス,村翼-12985,村橋 翼,消費者,福山市,広島県,日本,中国地方,事務用-紙-10003087,事務用品,紙,"エナーマックス スケジュール帳, マルチカラー",3188,2,0,188
3091,JP-2022-1188151,2022/12/9,2022/12/13,セカンド クラス,村翼-12985,村橋 翼,消費者,福山市,広島県,日本,中国地方,事務用-クリ-10003340,事務用品,クリップ,"Advantus ペーパー クリップ, 大容量パック",930,1,0,130
3092,JP-2020-2524694,2020/9/20,2020/9/23,ファースト クラス,吉直-17935,吉水 直子,消費者,石巻市,宮城県,日本,東北地方,事務用-保管-10000619,事務用品,保管箱,"Smead ファイル カート, フル サイズ",25686,3,0,255
3093,JP-2022-2157328,2022/3/24,2022/3/29,通常配送,生海-21220,生原 海斗,消費者,田辺市,和歌山県,日本,関西地方,家電-コピ-10003060,家電,コピー機,"ヒューレット・パッカード ファックス, カラー",107120,5,0,14990
3094,JP-2022-2549162,2022/2/7,2022/2/13,通常配送,高小-10420,高林 小百合,大企業,姫路市,兵庫県,日本,関西地方,家電-付属-10004976,家電,付属品,"サンディスク メモリ カード, 高耐久性",37540,5,0,9380
3095,JP-2021-2255061,2021/12/6,2021/12/9,セカンド クラス,久剛-15625,久保野 剛,消費者,八尾市,大阪府,日本,関西地方,家電-付属-10004924,家電,付属品,"メモレックス キーパッド, エコノミー",9042,3,0,360
3096,JP-2021-2255061,2021/12/6,2021/12/9,セカンド クラス,久剛-15625,久保野 剛,消費者,八尾市,大阪府,日本,関西地方,事務用-保管-10001768,事務用品,保管箱,"Rogers フォルダ, 青",6138,3,0,255
3097,JP-2022-1507289,2022/5/31,2022/6/5,通常配送,滝優-17140,滝沢 優香,消費者,河内長野市,大阪府,日本,関西地方,家電-付属-10001436,家電,付属品,"ベルキン ルータ, リサイクル",68416,4,0,6152
3098,JP-2022-1507289,2022/5/31,2022/6/5,通常配送,滝優-17140,滝沢 優香,消費者,河内長野市,大阪府,日本,関西地方,家電-コピ-10002805,家電,コピー機,"HP インク, 赤",42300,5,0,12690
3099,JP-2022-1507289,2022/5/31,2022/6/5,通常配送,滝優-17140,滝沢 優香,消費者,河内長野市,大阪府,日本,関西地方,事務用-封筒-10000552,事務用品,封筒,"Kraft 業務用封筒, リサイクル",2032,2,0,528
3100,JP-2022-1507289,2022/5/31,2022/6/5,通常配送,滝優-17140,滝沢 優香,消費者,河内長野市,大阪府,日本,関西地方,事務用-封筒-10002446,事務用品,封筒,"GlobeWeis 茶封筒, リサイクル",6984,4,0,2648
3101,JP-2022-1507289,2022/5/31,2022/6/5,通常配送,滝優-17140,滝沢 優香,消費者,河内長野市,大阪府,日本,関西地方,事務用-画材-10003431,事務用品,画材,"Sanford スケッチ帳, 青",6064,2,0,300
3102,JP-2022-2554836,2022/5/12,2022/5/15,セカンド クラス,成正-18145,成瀬 正男,消費者,田川郡川崎町,福岡県,日本,九州,事務用-バイ-10004263,事務用品,バインダー,"ウィルソン・ジョーンズ バインダー カバー, クリア",2130,3,0,786
3103,JP-2022-2554836,2022/5/12,2022/5/15,セカンド クラス,成正-18145,成瀬 正男,消費者,田川郡川崎町,福岡県,日本,九州,家具-家具-10004653,家具,家具,"Deflect-O フォト フレーム, 高耐久性",9786,3,0,1074
3104,JP-2021-1148107,2021/8/9,2021/8/13,セカンド クラス,鰐葵-14230,鰐部 葵,大企業,堺市堺区,大阪府,日本,関西地方,事務用-画材-10002523,事務用品,画材,"Stanley 蛍光ペン, 各種サイズ",5960,5,0,410
3105,JP-2020-1120809,2020/9/21,2020/9/28,通常配送,中茂-21505,中津 茂,消費者,小平市,東京都,日本,関東地方,事務用-保管-10001622,事務用品,保管箱,"Smead ボックス, 青",3051.5,5,0.15,-113.5
3106,JP-2020-1077776,2020/11/22,2020/11/26,通常配送,則輝-10510,則松 輝,消費者,足利市,栃木県,日本,関東地方,事務用-画材-10000295,事務用品,画材,"Sanford ペン, 各種サイズ",4760,5,0,1090
3107,JP-2020-1294238,2020/9/12,2020/9/16,通常配送,峰翼-13195,峰野 翼,大企業,高岡市,富山県,日本,中部地方,家具-椅子-10003194,家具,椅子,"Novimex 折り畳み式の椅子, 調整可能",28240,5,0,10730
3108,JP-2022-1889880,2022/12/2,2022/12/7,通常配送,柴翔-18865,柴川 翔太,消費者,浜松市中区,静岡県,日本,中部地方,家具-本棚-10001678,家具,本棚,"イケア 書庫, 白",73182,5,0.4,-20738
3109,JP-2022-1889880,2022/12/2,2022/12/7,通常配送,柴翔-18865,柴川 翔太,消費者,浜松市中区,静岡県,日本,中部地方,家電-付属-10000698,家電,付属品,"メモレックス キーボード, エコノミー",5707.2,2,0.4,-96.8
3110,JP-2022-2560725,2022/12/19,2022/12/22,ファースト クラス,恒朋-19270,恒石 朋美,大企業,日野市,東京都,日本,関東地方,家電-事務-10001466,家電,事務機器,"コニカ インクジェット, 赤",35200.2,2,0.15,2896.2
3111,JP-2022-2560725,2022/12/19,2022/12/22,ファースト クラス,恒朋-19270,恒石 朋美,大企業,日野市,東京都,日本,関東地方,家電-付属-10002968,家電,付属品,"ベルキン マウス, 高耐久性",9275.2,4,0.15,1635.2
3112,JP-2020-2016301,2020/10/4,2020/10/9,通常配送,山真-14350,山脇 真美,消費者,横手市,秋田県,日本,東北地方,家具-家具-10000952,家具,家具,"Deflect-O 時計, プレミアム",19572,6,0,0
3113,JP-2020-2016301,2020/10/4,2020/10/9,通常配送,山真-14350,山脇 真美,消費者,横手市,秋田県,日本,東北地方,家電-コピ-10003975,家電,コピー機,"ブラザー ファックス, カラー",106660,5,0,5330
3114,JP-2021-2135021,2021/5/1,2021/5/6,セカンド クラス,中雄-10480,中路 雄大,消費者,池田市,大阪府,日本,関西地方,家具-椅子-10001006,家具,椅子,"SAFCO ビーチ チェア, 2 つセット",10338,3,0,2682
3115,JP-2021-2109071,2021/6/8,2021/6/15,通常配送,姉彩-15490,姉川 彩乃,消費者,八尾市,大阪府,日本,関西地方,家具-家具-10000952,家具,家具,"Deflect-O 時計, プレミアム",13048,4,0,0
3116,JP-2021-2109071,2021/6/8,2021/6/15,通常配送,姉彩-15490,姉川 彩乃,消費者,八尾市,大阪府,日本,関西地方,事務用-封筒-10001233,事務用品,封筒,"Cameo 各種封筒, シルバー",5408,2,0,1728
3117,JP-2021-2109071,2021/6/8,2021/6/15,通常配送,姉彩-15490,姉川 彩乃,消費者,八尾市,大阪府,日本,関西地方,事務用-画材-10003394,事務用品,画材,"Sanford 蛍光ペン, 各種サイズ",3786,3,0,300
3118,JP-2019-2214109,2019/6/24,2019/6/25,ファースト クラス,縄優-19915,縄田 優月,消費者,新宿区,東京都,日本,関東地方,事務用-ラベ-10000582,事務用品,ラベル,"Smead 取り外し可能ラベル, 赤",1754.4,3,0.15,350.4
3119,JP-2019-2565834,2019/11/15,2019/11/19,セカンド クラス,勝一-16150,勝部 一樹,大企業,浜松市中区,静岡県,日本,中部地方,事務用-封筒-10004607,事務用品,封筒,"Jiffy 各種封筒, リサイクル",1438.8,1,0.4,-313.2
3120,JP-2019-2565834,2019/11/15,2019/11/19,セカンド クラス,勝一-16150,勝部 一樹,大企業,浜松市中区,静岡県,日本,中部地方,事務用-保管-10000619,事務用品,保管箱,"Smead ファイル カート, フル サイズ",20548.8,4,0.4,-13359.2
3121,JP-2021-1862749,2021/10/18,2021/10/23,通常配送,多颯-11365,多胡 颯太,大企業,尼崎市,兵庫県,日本,関西地方,家具-椅子-10004250,家具,椅子,"Office Star 肘掛け椅子, 赤",62324,2,0,13088
3122,JP-2022-1226159,2022/6/25,2022/6/30,通常配送,須真-18460,須藤 真,大企業,刈谷市,愛知県,日本,中部地方,事務用-画材-10003967,事務用品,画材,"Stanley マーカー, 大容量パック",4194.4,4,0.3,-365.6
3123,JP-2022-1226159,2022/6/25,2022/6/30,通常配送,須真-18460,須藤 真,大企業,刈谷市,愛知県,日本,中部地方,事務用-紙-10003090,事務用品,紙,"Green Bar 硫酸紙, リサイクル",2212,2,0,884
3124,JP-2020-1322836,2020/6/13,2020/6/18,通常配送,喜翔-14005,喜多見 翔,小規模事業所,下関市,山口県,日本,中国地方,家具-家具-10003223,家具,家具,"Deflect-O 電球, 高耐久性",1281.6,2,0.4,17.6
3125,JP-2022-2567518,2022/12/9,2022/12/13,セカンド クラス,光正-10960,光藤 正男,消費者,伊豆の国市,静岡県,日本,中部地方,家具-本棚-10004462,家具,本棚,"Bush クラシック スタイルの本棚, 黒",16561.2,1,0.4,-6624.8
3126,JP-2022-2567518,2022/12/9,2022/12/13,セカンド クラス,光正-10960,光藤 正男,消費者,伊豆の国市,静岡県,日本,中部地方,家具-椅子-10002414,家具,椅子,"SAFCO 椅子用マット, 調整可能",7477.2,3,0.4,121.2
3127,JP-2019-2178854,2019/4/12,2019/4/14,ファースト クラス,西弘-14185,西谷 弘子,消費者,佐伯市,大分県,日本,九州,事務用-アプ-10000298,事務用品,アプライアンス,"ハミルトンビーチ コンロ, シルバー",72412,2,0,22444
3128,JP-2020-1238311,2020/10/19,2020/10/24,通常配送,沼静-20050,沼本 静香,小規模事業所,新宿区,東京都,日本,関東地方,事務用-保管-10002354,事務用品,保管箱,"Fellowes ファイル カート, 青",54466.3,7,0.15,-9016.7
3129,JP-2020-1238311,2020/10/19,2020/10/24,通常配送,沼静-20050,沼本 静香,小規模事業所,新宿区,東京都,日本,関東地方,家具-椅子-10004084,家具,椅子,"Novimex ロッキング チェア, 赤",37238.5,5,0.15,12698.5
3130,JP-2020-1238311,2020/10/19,2020/10/24,通常配送,沼静-20050,沼本 静香,小規模事業所,新宿区,東京都,日本,関東地方,家電-付属-10004858,家電,付属品,"サンディスク キーパッド, エコノミー",25092,8,0.15,9444
3131,JP-2019-1338137,2019/1/4,2019/1/7,セカンド クラス,明優-11665,明石 優香,消費者,伊勢崎市,群馬県,日本,関東地方,事務用-封筒-10001589,事務用品,封筒,"Cameo 業務用封筒, 50 枚セット",2260,2,0,268
3132,JP-2019-1338137,2019/1/4,2019/1/7,セカンド クラス,明優-11665,明石 優香,消費者,伊勢崎市,群馬県,日本,関東地方,家電-コピ-10003558,家電,コピー機,"キヤノン ファックス, 赤",105530,5,0,2110
3133,JP-2022-2571817,2022/7/19,2022/7/24,セカンド クラス,積千-19675,積田 千代,小規模事業所,可児市,岐阜県,日本,中部地方,事務用-バイ-10002339,事務用品,バインダー,"カーディナル バインダー カバー, リサイクル",1648,2,0,0
3134,JP-2022-2571817,2022/7/19,2022/7/24,セカンド クラス,積千-19675,積田 千代,小規模事業所,可児市,岐阜県,日本,中部地方,家電-コピ-10002996,家電,コピー機,"シャープ インク, デジタル",16540,2,0,6780
3135,JP-2022-2571817,2022/7/19,2022/7/24,セカンド クラス,積千-19675,積田 千代,小規模事業所,可児市,岐阜県,日本,中部地方,事務用-文房-10001089,事務用品,文房具,"Fiskars カッター ナイフ, 青",4736,2,0,328
3136,JP-2021-2034017,2021/10/19,2021/10/22,セカンド クラス,藤翼-11845,藤井 翼,大企業,長岡市,新潟県,日本,中部地方,事務用-文房-10000098,事務用品,文房具,"Acme 大型のはさみ, 長方形",6216,2,0,308
3137,JP-2022-2574114,2022/8/7,2022/8/11,通常配送,伊梅-17980,伊豆田 梅子,大企業,青森市,青森県,日本,東北地方,家具-家具-10000379,家具,家具,"Eldon フォト フレーム, 高耐久性",18380,5,0,180
3138,JP-2022-2574114,2022/8/7,2022/8/11,通常配送,伊梅-17980,伊豆田 梅子,大企業,青森市,青森県,日本,東北地方,事務用-封筒-10002446,事務用品,封筒,"GlobeWeis 茶封筒, リサイクル",12222,7,0,4634
3139,JP-2019-1119573,2019/1/26,2019/1/30,通常配送,岩明-13540,岩本 明美,消費者,宇部市,山口県,日本,中国地方,事務用-アプ-10000948,事務用品,アプライアンス,"ブレビル ミキサー, 白",21211.2,6,0.4,3535.2
3140,JP-2019-1119573,2019/1/26,2019/1/30,通常配送,岩明-13540,岩本 明美,消費者,宇部市,山口県,日本,中国地方,家電-電話-10004819,家電,電話機,"モトローラ 充電器, フル サイズ",25759.2,1,0.4,-17087.8
3141,JP-2019-2576037,2019/11/29,2019/12/1,セカンド クラス,三真-12550,三澤 真美,消費者,茨木市,大阪府,日本,関西地方,事務用-画材-10000755,事務用品,画材,"BIC スケッチ帳, 青",6488,2,0,324
3142,JP-2021-2236727,2021/9/11,2021/9/18,通常配送,綾剛-18415,綾部 剛,消費者,小田原市,神奈川県,日本,関東地方,家電-事務-10001240,家電,事務機器,"コニカ カード プリンター, 赤",103392,9,0,40320
3143,JP-2020-1126412,2020/5/9,2020/5/13,通常配送,荒拓-13795,荒堀 拓也,小規模事業所,延岡市,宮崎県,日本,九州,家電-付属-10002968,家電,付属品,"ベルキン マウス, 高耐久性",19096,7,0,5726
3144,JP-2020-1126412,2020/5/9,2020/5/13,通常配送,荒拓-13795,荒堀 拓也,小規模事業所,延岡市,宮崎県,日本,九州,家具-本棚-10004487,家具,本棚,"Sauder 本棚, メタル",29256,3,0,10530
3145,JP-2020-1674411,2020/12/27,2021/1/2,通常配送,牧蓮-16495,牧原 蓮,大企業,茅ヶ崎市,神奈川県,日本,関東地方,事務用-バイ-10000194,事務用品,バインダー,"アコ バインダー カバー, 高耐久性",2964,3,0,114
3146,JP-2021-1792279,2021/6/16,2021/6/16,即日配送,青翔-15970,青井 翔太,消費者,磐田市,静岡県,日本,中部地方,事務用-アプ-10002431,事務用品,アプライアンス,"フーバー コーヒーミル, 赤",13758,5,0.4,1828
3147,JP-2021-1792279,2021/6/16,2021/6/16,即日配送,青翔-15970,青井 翔太,消費者,磐田市,静岡県,日本,中部地方,事務用-文房-10000508,事務用品,文房具,"Stiletto 裁断機, 業務用",12423.6,7,0.4,411.6
3148,JP-2019-2579273,2019/5/8,2019/5/11,セカンド クラス,貝翔-17350,貝原 翔,消費者,青森市,青森県,日本,東北地方,事務用-保管-10001071,事務用品,保管箱,"Eldon トレイ, 業務用",6460,2,0,452
3149,JP-2022-2580152,2022/5/22,2022/5/24,セカンド クラス,齋陽-14815,齋木 陽菜,小規模事業所,伊丹市,兵庫県,日本,関西地方,家具-本棚-10001796,家具,本棚,"Bush コーナー シェルフ, メタル",24690,3,0,7158
3150,JP-2020-2580857,2020/1/18,2020/1/20,ファースト クラス,蘇真-21160,蘇武 真一,大企業,高山市,岐阜県,日本,中部地方,家具-本棚-10003775,家具,本棚,"Bush キャビネット, メタル",19044,2,0,0
3151,JP-2021-1703426,2021/10/15,2021/10/18,ファースト クラス,鷲拓-20335,鷲尾 拓海,消費者,周南市,山口県,日本,中国地方,事務用-画材-10000863,事務用品,画材,"Stanley キャンバス, 青",13851.6,7,0.4,-3004.4
3152,JP-2022-1455257,2022/2/1,2022/2/3,セカンド クラス,高豊-14650,高場 豊,大企業,今治市,愛媛県,日本,四国,家電-コピ-10004797,家電,コピー機,"ブラザー ファックス, 赤",84464,4,0,30400
3153,JP-2021-1302344,2021/7/25,2021/7/30,通常配送,古寛-10600,古牧 寛,大企業,宇部市,山口県,日本,中国地方,家具-家具-10004649,家具,家具,"Rubvermaid 電球, プレミアム",1396.8,2,0.4,-655.2
3154,JP-2021-1226065,2021/2/16,2021/2/19,セカンド クラス,倉翼-20110,倉本 翼,消費者,茨木市,大阪府,日本,関西地方,事務用-文房-10001951,事務用品,文房具,"Kleencut 裁断機, スチール",13610,5,0,0
3155,JP-2021-1226065,2021/2/16,2021/2/19,セカンド クラス,倉翼-20110,倉本 翼,消費者,茨木市,大阪府,日本,関西地方,家電-電話-10002239,家電,電話機,"サムスン スマートフォン, 各種サイズ",16812,2,0,170
3156,JP-2019-2266241,2019/11/30,2019/12/4,通常配送,阿法-19060,阿彦 法子,小規模事業所,宇佐市,大分県,日本,九州,事務用-バイ-10004334,事務用品,バインダー,"カーディナル とじ機, 高耐久性",10254,3,0,2766
